YEAR,MO,DY,HR,T2M,RH2M
2014,6,29,0,13.57,89.0
2014,6,29,1,13.8,88.88
2014,6,29,2,14.05,87.88
2014,6,29,3,14.22,86.69
2014,6,29,4,14.27,85.69
2014,6,29,5,14.3,84.56
2014,6,29,6,14.33,83.5
2014,6,29,7,14.38,82.69
2014,6,29,8,14.47,81.81
2014,6,29,9,14.54,81.12
2014,6,29,10,14.59,80.56
2014,6,29,11,14.62,80.25
2014,6,29,12,14.59,79.94
2014,6,29,13,14.48,79.75
2014,6,29,14,14.29,79.69
2014,6,29,15,14.08,79.38
2014,6,29,16,13.97,79.0
2014,6,29,17,13.91,78.75
2014,6,29,18,13.82,79.06
2014,6,29,19,13.67,79.81
2014,6,29,20,13.46,80.75
2014,6,29,21,13.16,82.12
2014,6,29,22,12.92,83.56
2014,6,29,23,12.8,84.06
2014,6,30,0,12.77,83.75
2014,6,30,1,12.76,83.25
2014,6,30,2,12.75,83.12
2014,6,30,3,12.79,83.06
2014,6,30,4,12.91,82.56
2014,6,30,5,13.08,81.69
2014,6,30,6,13.2,80.81
2014,6,30,7,13.29,80.38
2014,6,30,8,13.4,80.06
2014,6,30,9,13.48,79.88
2014,6,30,10,13.53,79.69
2014,6,30,11,13.61,79.44
2014,6,30,12,13.68,79.12
2014,6,30,13,13.65,78.81
2014,6,30,14,13.51,78.25
2014,6,30,15,13.47,77.5
2014,6,30,16,13.44,77.25
2014,6,30,17,13.39,77.25
2014,6,30,18,13.34,77.31
2014,6,30,19,13.28,77.5
2014,6,30,20,13.21,77.75
2014,6,30,21,13.15,78.06
2014,6,30,22,13.15,78.19
2014,6,30,23,13.18,77.88
2014,7,1,0,13.23,77.69
2014,7,1,1,13.26,77.5
2014,7,1,2,13.3,77.38
2014,7,1,3,13.36,77.5
2014,7,1,4,13.44,77.44
2014,7,1,5,13.54,77.38
2014,7,1,6,13.68,77.44
2014,7,1,7,13.86,77.62
2014,7,1,8,14.02,77.62
2014,7,1,9,14.08,77.88
